facet,category,start_date,end_date,content_text
"Balzac, Honoré de",sleep,2015-07-10 00:00Z,2015-07-10 00:59Z,Sleeping
"Balzac, Honoré de",creative work,2015-07-10 01:00Z,2015-07-10 07:59Z,Wearing monkish robe and Moroccan slippers for his 'priest-like' work
"Balzac, Honoré de",sleep,2015-07-10 08:00Z,2015-07-10 09:59Z,Napping
"Balzac, Honoré de",creative work,2015-07-10 10:00Z,2015-07-10 15:59Z,Having a cup of black coffee before starting work
"Balzac, Honoré de",food / leisure,2015-07-10 16:00Z,2015-07-10 17:59Z,"Receiving friends, taking a bath, going out for dinner"
"Balzac, Honoré de",sleep,2015-07-10 18:00Z,2015-07-10 23:59Z,Sleeping
"Milton, John",sleep,2015-07-10 00:00Z,2015-07-10 03:59Z,Sleeping
"Milton, John",other,2015-07-10 04:00Z,2015-07-10 04:59Z,Meditating
"Milton, John",food / leisure,2015-07-10 05:00Z,2015-07-10 06:59Z,Listening to aide reading bible
"Milton, John",creative work,2015-07-10 07:00Z,2015-07-10 11:59Z,Dictating to aide
"Milton, John",creative work,2015-07-10 12:00Z,2015-07-10 12:59Z,Listening to aide read back
"Milton, John",food / leisure,2015-07-10 13:00Z,2015-07-10 15:59Z,Having lunch
"Milton, John",exercise,2015-07-10 16:00Z,2015-07-10 17:59Z,Walking up and down his garden
"Milton, John",food / leisure,2015-07-10 18:00Z,2015-07-10 20:59Z,"Having guests over, supper, smoking a pipe"
"Milton, John",sleep,2015-07-10 21:00Z,2015-07-10 23:59Z,Sleeping
"Murakami, Haruki",sleep,2015-07-10 00:00Z,2015-07-10 03:59Z,Sleeping
"Murakami, Haruki",creative work,2015-07-10 04:00Z,2015-07-10 11:59Z,Writing
"Murakami, Haruki",exercise,2015-07-10 12:00Z,2015-07-10 12:59Z,Walking and swimming
"Murakami, Haruki",food / leisure,2015-07-10 13:00Z,2015-07-10 20:59Z,"Doing housework, admin and spending time with family"
"Murakami, Haruki",sleep,2015-07-10 21:00Z,2015-07-10 23:59Z,Sleeping
Voltaire,sleep,2015-07-10 00:00Z,2015-07-10 03:59Z,Sleeping
Voltaire,creative work,2015-07-10 04:00Z,2015-07-10 11:59Z,"Working in bed, dictating his thoughts to a secretary"
Voltaire,other,2015-07-10 12:00Z,2015-07-10 12:59Z,Getting dressed
Voltaire,creative work,2015-07-10 13:00Z,2015-07-10 13:59Z,Working
Voltaire,day job / admin,2015-07-10 14:00Z,2015-07-10 15:59Z,Surveying the estate with secretary
Voltaire,creative work,2015-07-10 16:00Z,2015-07-10 19:59Z,Working
Voltaire,food / leisure,2015-07-10 20:00Z,2015-07-10 20:59Z,Having dinner with family
Voltaire,creative work,2015-07-10 21:00Z,2015-07-10 23:59Z,Working
