Date,Type,Lat,Long,Region,Text
2001-06-21,Total,-11.3,2.7,South Atlantic Ocean,"2001-06-21:: Total: Angola, Zambia, Zimbabwe, Mozambique and Madagascar; Partial: South America, Africa"
2001-12-14,Annular,0.6,-130.7,North Pacific Ocean,"2001-12-14:: Annular: Nicaragua and Costa Rica; Partial: North and Central America, northwestern South America, Hawaii"
2002-06-10,Annular,34.5,-178.6,North Pacific Ocean,"2002-06-10:: Annular: Manado, Indonesia, Guam, Northern Mariana Islands, and Puerto Vallarta, Mexico; Partial: eastern Asia, northeastern Australia, North America, Hawaii"
2002-12-04,Total,-39.5,59.6,Indian Ocean,"2002-12-04:: Total: Angola, Botswana, Zimbabwe, South Africa, Mozambique and South Australia; Partial: Africa, Antarctica, Indonesia, Australia"
2003-05-31,Annular,66.6,-24.5,Arctic Ocean,"2003-05-31:: Annular: Greenland, Iceland, northeastern Scotland, Faroe Islands, Shetland Islands; Partial: Eastern Europe, northern and western Asia, Middle East, Alaska, Greenland and northwestern Canada"
2003-11-23,Total,-72.7,88.4,Antarctica,"2003-11-23:: Total: East Antarctica; Partial: Australia, New Zealand, Antarctica, southern Chile and Argentina"
2004-04-19,Partial,-61.6,44.3,Antarctic Ocean,"2004-04-19:: Partial: Antarctic Peninsula, east Antarctica, southern Africa"
2004-10-14,Partial,61.2,-153.7,North America,"2004-10-14:: Partial: eastern Russia, Mongolia, Northeastern China, Korea, Japan, Hawaii, western Alaska"
2005-04-08,Hybrid,-10.6,-119,South Pacific Ocean,"2005-04-08:: Hybrid: Venezuela, Colombia, Panama, southeastern French Polynesia, Bounty Islands; Partial: Pacific, Mexico, Central America, Caribbean, western South America, New Zealand, West Antarctica"
2005-10-03,Annular,12.9,28.7,Africa,"2005-10-03:: Annular: Portugal, Spain, Algeria, Tunisia, Libya, Chad, Sudan, Kenya and Somalia; Partial: Africa, Europe, Western Asia, Middle East and India Pakistan"
2006-03-29,Total,23.2,16.7,Africa,"2006-03-29:: Total: Brazil, Ghana, Togo, Benin, Nigeria, Niger, Libya, northwest Egypt, Turkey, Georgia, southwestern Russia and Kazakhstan; Partial: North Africa, Central Africa, eastern Brazil, Central Asia, Middle East, India Pakistan and Europe"
2006-09-22,Annular,-20.6,-9.1,South Atlantic Ocean,"2006-09-22:: Annular: Guyana, Suriname and French Guiana; Partial: South America, West Africa, Southern Africa, Antarctic Peninsula, east Antarctica"
2007-03-19,Partial,61,55.5,Asia,"2007-03-19:: Partial: Asia, western Alaska"
2007-09-11,Partial,-61,-90.2,Antarctic Ocean,"2007-09-11:: Partial: Central and Southern South America, Antarctic Peninsula, east Antarctica, south Atlantic"
2008-02-07,Annular,-67.6,-150.5,Antarctic Ocean,"2008-02-07:: Annular: West Antarctica; Partial: Antarctica, southeastern Australia, New Zealand, southeastern Melanesia, southeastern Micronesia, southeastern Polynesia"
2008-08-01,Total,65.7,72.3,Asia,"2008-08-01:: Total: Nunavut, northern Greenland, central Russia, western Mongolia, western China; Partial: Nova Scotia, PEI, New Brunswick, Quebec, Nunavut, Greenland, northern Europe, Asia"
2009-01-26,Annular,-34.1,70.2,Indian Ocean,"2009-01-26:: Annular: southeast Sumatra, Jakarta and Borneo; Partial: Southern Africa, east Antarctica, South East Asia, Philippines, Australia"
2009-07-22,Total,24.2,144.1,North Pacific Ocean,"2009-07-22:: Total: central and northeastern Pakistan India, Bhutan, Bangladesh, Myanmar, China, northern part of the Ryukyu Islands (Satsunan); Partial: Southeast Asia, Japan, South Korea, the Philippines, Indonesia, Central Pacific Ocean area and its islands"
2010-01-15,Annular,1.6,69.3,Indian Ocean,"2010-01-15:: Annular: Central African Republic, Democratic Republic of the Congo, Uganda, Maldives, southeastern India, Pakistan, Sri Lanka, Myanmar, central China; Partial: Africa, Southeastern Europe, Middle East, Asia"
2010-07-11,Total,-19.7,-121.9,South Pacific Ocean,"2010-07-11:: Total: Southern Chile and Argentina, Southeastern Polynesia; Partial: southwestern South America, French Polynesia, Hawaii"
2011-01-04,Partial,64.7,20.8,Europe,"2011-01-04:: Partial: Europe, Northern Africa, Central Asia, Middle East"
2011-06-01,Partial,67.8,46.8,Arctic Ocean,"2011-06-01:: Partial: Iceland, northern Canada, Alaska, northeastern Asia, Greenland, northern Scandinavia"
2011-07-01,Partial,-65.2,28.6,Antarctic Ocean,2011-07-01:: Partial: Southern Indian Ocean near Antarctica
2011-11-25,Partial,-68.6,-82.4,Antarctic Ocean,"2011-11-25:: Partial: Southwestern South Africa, Antarctica, Tasmania, New Zealand"
2012-05-20,Annular,49.1,176.3,North Pacific Ocean,"2012-05-20:: Annular: Southern China, Hong Kong, Macau, Kyushu, Shikoku, southern Honshu, Tokyo, Oregon, California, Nevada, Utah, Arizona, New Mexico, Texas; Partial: Pacific, eastern Asia, North America, Hawaii"
