start_date,end_date,content_text,category,facet,year,placement,nationality,venue,location,state,score,margin,from_par,prize
1879,,Born: 1879,Born,"Anderson, Willie",1879,,United Kingdom,,,,,,,
1897,,2nd place,Placed,"Anderson, Willie",1897,2,United Kingdom,,,,,,,
1898,,3rd place,Placed,"Anderson, Willie",1898,3,United Kingdom,,,,,,,
1899,,5th place,Placed,"Anderson, Willie",1899,5,United Kingdom,,,,,,,
1900,,11th place,Placed,"Anderson, Willie",1900,11,United Kingdom,,,,,,,
1901,,"Willie Anderson wins at Myopia Hunt Club (South Hamilton, Massachusetts) with a score of 331 in a playoff, earning $200.",Victory,"Anderson, Willie",1901,1,United Kingdom,Myopia Hunt Club,"South Hamilton, Massachusetts",Massachusetts,331,0,,200.00
1902,,5th place,Placed,"Anderson, Willie",1902,5,United Kingdom,,,,,,,
1903,,"Willie Anderson wins for the 2nd time at Baltusrol Golf Club, Original Course (Springfield, New Jersey) with a score of 307 in a playoff, earning $200.",Victory,"Anderson, Willie",1903,1,United Kingdom,"Baltusrol Golf Club, Original Course","Springfield, New Jersey",New Jersey,307,0,,200.00
1904,,"Willie Anderson wins for the 3rd time at Glen View Club (Golf, Illinois) with a score of 303 and by a margin of 4 strokes, earning $200.",Victory,"Anderson, Willie",1904,1,United Kingdom,Glen View Club,"Golf, Illinois",Illinois,303,4,,200.00
1905,,"Willie Anderson wins for the 4th time at Myopia Hunt Club (South Hamilton, Massachusetts) with a score of 314 and by a margin of 2 strokes, earning $200. With this victory, he holds the record for most U.S Open victories (tied with Bobby Jones, Ben Hogan, and Jack Nicklaus)",Victory,"Anderson, Willie",1905,1,United Kingdom,Myopia Hunt Club,"South Hamilton, Massachusetts",Massachusetts,314,2,,200.00
1906,,5th place,Placed,"Anderson, Willie",1906,5,United Kingdom,,,,,,,
1907,,15th place,Placed,"Anderson, Willie",1907,15,United Kingdom,,,,,,,
1908,,4th place,Placed,"Anderson, Willie",1908,4,United Kingdom,,,,,,,
1909,,4th place,Placed,"Anderson, Willie",1909,4,United Kingdom,,,,,,,
1910-06,,11th place,Placed,"Anderson, Willie",1910,11,United Kingdom,,,,,,,
1910-12,,Died: 1910-12,Died,"Anderson, Willie",1910,,United Kingdom,,,,,,,
1896,,Born: 1896,Born,"Armour, Tommy",1896,,United Kingdom,,,,,,,
1920,,48th place,Placed,"Armour, Tommy",1920,48,United Kingdom,,,,,,,
1923,,Withdrew from tournament,Withdrew,"Armour, Tommy",1923,,United Kingdom,,,,,,,
1924,,13th place,Placed,"Armour, Tommy",1924,13,United Kingdom,,,,,,,
1925,,38th place,Placed,"Armour, Tommy",1925,38,United Kingdom,,,,,,,
1926,,9th place,Placed,"Armour, Tommy",1926,9,United Kingdom,,,,,,,
1927,,"Tommy Armour wins at Oakmont Country Club (Oakmont, Pennsylvania) with a score of 301 in a playoff, earning $500.",Victory,"Armour, Tommy",1927,1,United Kingdom,Oakmont Country Club,"Oakmont, Pennsylvania",Pennsylvania,301,0,,500.00
1928,,16th place,Placed,"Armour, Tommy",1928,16,United Kingdom,,,,,,,
1929,,5th place,Placed,"Armour, Tommy",1929,5,United Kingdom,,,,,,,
1930,,6th place,Placed,"Armour, Tommy",1930,6,United Kingdom,,,,,,,
1931,,46th place,Placed,"Armour, Tommy",1931,46,United Kingdom,,,,,,,
1932,,21st place,Placed,"Armour, Tommy",1932,21,United Kingdom,,,,,,,
1933,,4th place,Placed,"Armour, Tommy",1933,4,United Kingdom,,,,,,,
1934,,50th place,Placed,"Armour, Tommy",1934,50,United Kingdom,,,,,,,
1935,,Withdrew from tournament,Withdrew,"Armour, Tommy",1935,,United Kingdom,,,,,,,
1936,,22nd place,Placed,"Armour, Tommy",1936,22,United Kingdom,,,,,,,
1937,,Cut from tournament,Cut,"Armour, Tommy",1937,,United Kingdom,,,,,,,
1938,,23rd place,Placed,"Armour, Tommy",1938,23,United Kingdom,,,,,,,
1939,,22nd place,Placed,"Armour, Tommy",1939,22,United Kingdom,,,,,,,
1940,,12th place,Placed,"Armour, Tommy",1940,12,United Kingdom,,,,,,,
1941,,Cut from tournament,Cut,"Armour, Tommy",1941,,United Kingdom,,,,,,,
1946,,Cut from tournament,Cut,"Armour, Tommy",1946,,United Kingdom,,,,,,,
