content_text,start_date,category,end_date
NA-5,1910-10-16 12:00,C4,1910-10-17 18:00
NA-2,1915-08-14 06:00,C4,1915-08-17 06:00
NA-6,1915-09-25 00:00,C4,1915-09-29 12:00
NA-6,1916-08-18 00:00,C4,1916-08-18 18:00
NA-4,1917-09-25 06:00,C4,1917-09-27 06:00
NA-2,1919-09-09 06:00,C4,1919-09-14 00:00
NA-6,1921-10-23 18:00,C4,1921-10-25 06:00
NA-0,1924-10-19 00:00,C5,1924-10-20 06:00
NA-1,1926-07-25 18:00,C4,1926-07-26 12:00
NA-4,1926-09-12 12:00,C4,1926-09-12 18:00
NA-7,1926-09-16 06:00,C4,1926-09-18 12:00
NA-0,1926-10-19 06:00,C4,1926-10-20 18:00
NA-4,1928-09-12 18:00,C5,1928-09-17 00:00
NA-2,1929-09-25 06:00,C4,1929-09-27 12:00
NA-2,1930-09-03 12:00,C4,1930-09-03 18:00
NA-4,1932-09-04 12:00,C5,1932-09-08 00:00
NA-0,1932-11-08 18:00,C4,1932-11-09 18:00
NA-2,1933-09-02 06:00,C4,1933-09-04 00:00
NA-8,1933-10-05 12:00,C4,1933-10-07 00:00
NA-2,1935-09-02 12:00,C5,1935-09-03 12:00
NA-4,1938-09-17 18:00,C5,1938-09-21 00:00
NA-4,1939-10-16 18:00,C4,1939-10-17 00:00
NA-3,1943-08-23 18:00,C4,1943-08-25 00:00
NA-7,1944-09-12 12:00,C4,1944-09-13 06:00
NA-5,1945-08-27 06:00,C4,1945-08-28 00:00
NA-9,1945-09-15 12:00,C4,1945-09-16 00:00
NA-4,1947-09-13 12:00,C5,1947-09-18 00:00
NA-6,1948-09-13 00:00,C4,1948-09-13 12:00
NA-2,1949-08-26 12:00,C4,1949-08-27 00:00
ABLE-1,1950-08-17 18:00,C4,1950-08-20 06:00
DOG-4,1950-09-02 12:00,C5,1950-09-08 00:00
FOX-6,1950-09-14 12:00,C4,1950-09-15 18:00
CHARLIE-3,1951-08-20 00:00,C4,1951-08-22 12:00
EASY-5,1951-09-06 18:00,C5,1951-09-09 00:00
FOX-7,1952-10-24 06:00,C4,1952-10-24 18:00
CAROL-4,1953-09-03 00:00,C4,1953-09-05 06:00
HAZEL-9,1954-10-09 00:00,C4,1954-10-15 06:00
CONNIE-2,1955-08-05 18:00,C4,1955-08-11 00:00
JANET-0,1955-09-25 00:00,C5,1955-09-28 06:00
GRETA-8,1956-11-05 06:00,C4,1956-11-05 18:00
AUDREY-2,1957-06-27 06:00,C4,1957-06-27 12:00
CARRIE-4,1957-09-07 18:00,C4,1957-09-15 00:00
CLEO-3,1958-08-14 12:00,C5,1958-08-16 06:00
HELENE-8,1958-09-27 12:00,C4,1958-09-27 18:00
GRACIE-8,1959-09-29 06:00,C4,1959-09-29 12:00
ILSA-9,1958-09-27 00:00,C4,
NA-0,1949-10-04 06:00,C4,
NA-8,1948-10-05 12:00,C4,
NA-5,1946-10-07 18:00,C4,
NA-2,1932-08-14 00:00,C4,
DONNA-5,1960-09-02 12:00,C5,1960-09-10 18:00
BETSY-2,1961-09-05 12:00,C4,1961-09-06 18:00
CARLA-3,1961-09-10 06:00,C5,1961-09-11 18:00
