start_date,end_date,content_text,facet,category
1912-01-28,1956-08-11,"born: Cody, United States; died: Springs, United States","Pollock, Jackson",lifespan
1928,,Echo Park,"Pollock, Jackson",travel
1930,,New York,"Pollock, Jackson",travel
1945,,Springs,"Pollock, Jackson",travel
1945,,Lee Krasner,"Pollock, Jackson",lover
1956,,Ruth Kligman,"Pollock, Jackson",lover
1935,1940,Expressionism,"Pollock, Jackson",period
1940,1953,Abstract Art,"Pollock, Jackson",period
1945,1953,Action Painting,"Pollock, Jackson",period
1904-05-11,1989-01-23,"born: Figueres, Spain; died: Figueres, Spain","Dalì, Salvador",lifespan
1920,,Madrid,"Dalì, Salvador",travel
1926,,Barcelona,"Dalì, Salvador",travel
1936,,Paris,"Dalì, Salvador",travel
1939,,Paris,"Dalì, Salvador",travel
1938,,London,"Dalì, Salvador",travel
1940,,United States,"Dalì, Salvador",travel
1948,,Barcelona,"Dalì, Salvador",travel
1970,,Paris,"Dalì, Salvador",travel
1978,,New York,"Dalì, Salvador",travel
1982,,Pubol,"Dalì, Salvador",travel
1984,,Figueres,"Dalì, Salvador",travel
1934,,Augusta Popoff,"Dalì, Salvador",lover
1910,1915,Neoclassicism,"Dalì, Salvador",period
1915,1920,Cloissonism,"Dalì, Salvador",period
1920,1925,Impressionism,"Dalì, Salvador",period
1925,1928,Cubism,"Dalì, Salvador",period
1928,1935,Post-Impressionism,"Dalì, Salvador",period
1935,1940,Surrealism,"Dalì, Salvador",period
1940,1942,Naive,"Dalì, Salvador",period
1942,1945,Realism,"Dalì, Salvador",period
1945,1950,Pointillism,"Dalì, Salvador",period
1950,1955,Expressionism,"Dalì, Salvador",period
1955,1958,Japonism,"Dalì, Salvador",period
1958,1963,Abstract Art,"Dalì, Salvador",period
1963,1965,Dada,"Dalì, Salvador",period
1965,1970,Symbolism,"Dalì, Salvador",period
1970,1975,Metaphysical,"Dalì, Salvador",period
1975,1977,Op Art,"Dalì, Salvador",period
1977,1984,Neobaroque,"Dalì, Salvador",period
1893-04-20,1983-12-25,"born: Barcelona, Spain; died: Palma Mallorca, Spain","Miró, Joan",lifespan
1920,,Paris,"Miró, Joan",travel
1928,,Netherlands,"Miró, Joan",travel
1930,,Montrolig,"Miró, Joan",travel
1940,,Palma Mallorca,"Miró, Joan",travel
1942,,Barcelona,"Miró, Joan",travel
1949,,Paris,"Miró, Joan",travel
1956,,Palma Mallorca,"Miró, Joan",travel
1968,,United States,"Miró, Joan",travel
1929,,Pilar Junosca Iglesias,"Miró, Joan",lover
1930,,Maria Dolors,"Miró, Joan",daughter
1902,1908,Early Years,"Miró, Joan",period
1908,1938,Surrealism,"Miró, Joan",period
1943,1963,Abstract Art,"Miró, Joan",period
1882-10-19,1916-08-17,"born: Reggio Calabria, Italy; died: Verona, Italy","Boccioni, Umberto",lifespan
1882-10-19,,Forli,"Boccioni, Umberto",travel
1890,,Padua,"Boccioni, Umberto",travel
1898,,Catania,"Boccioni, Umberto",travel
1901,,Rome,"Boccioni, Umberto",travel
1907,,Russia,"Boccioni, Umberto",travel
1907,,Paris,"Boccioni, Umberto",travel
1916,1916-08-17,Verona,"Boccioni, Umberto",travel
1907,,Augusta Popoff,"Boccioni, Umberto",lover
