name,pleiades_id,location
Megara,570468,"37.985078,23.340163"
Abydos,501325,"40.194214,26.411298"
Kyzikos,511218,"40.389806,27.874127"
Byzantion,520985,"41.125,28.875"
Histria,216839,"44.5476,28.7748"
Abdera,501323,"40.95,24.9833"
Lampsacus,501570,"40.3467,26.6992"
Teos,550913,"38.199104,26.837477"
Miletus,599799,"37.5292362,27.2774885"
Clazomenae,550651,"38.25,26.75"
Athens,579885,"37.971687,23.726464"
Neapolis (Thrace),511333,"41.12194,29.059723"
Olbia,226546,"46.6919,31.9016"
Sinope,857321,"42.025776,35.143037"
Prusias,511385,"40.4325,29.1564"
Apollonia,216706,"42.420355,27.694272"
Amisos,34855,"41.292721,36.3313"
Phocaea,55823,"38.6704,26.7532"
Kardia,501458,"40.548232,26.75081"
Pantikapaion,854719,"45.3544,36.4711"
Odessos,216904,"43.21207,27.90859"
Tomoi,217016,"44.172489,28.661176"
Nymphaion,854715,"45.238525,36.414086"
Heraclea Pontica,844944,"41.2825,31.4188"
Hermonassa,854687,"45.218858,36.714396"
