start_date,end_date,facet,content_text
"-0640","-0550",Men of Learning,Thales
"-0560","-0500",Men of Learning,Pythagoras
"-0520","-0440",Men of Learning,Pindar
"-0560","-0480",Men of Learning,Anacreon
"-0485","-0410",Men of Learning,Herodotus
"-0470","-0390",Men of Learning,Thuoydidas
"-0495","-0410",Men of Learning,Sophocles
"-0460","-0355",Men of Learning,Hippocrates
"-0470","-0400",Men of Learning,Socrates
"-0450","-0360",Men of Learning,Xenophon
"-0440","-0380",Men of Learning,Aristophanes
"-0425","-0350",Men of Learning,Plato
"-0380","-0320",Men of Learning,Demosthenes
"-0380","-0320",Men of Learning,Aristotle
"-0365","-0265",Men of Learning,Zeno Stoicus
"-0340","-0270",Men of Learning,Epicurus
"-0330","-0275",Men of Learning,Euclid
"-0295","-0245",Men of Learning,Theocritus
"-0210","-0125",Men of Learning,Polybius
"-0230","-0155",Men of Learning,Aristardius
"-0230","-0185",Men of Learning,Plautus
"-0200","-0155",Men of Learning,Terence
"-0240","-0170",Men of Learning,Ennius
"-0085","-0030",Men of Learning,Sallust
"-0060","0015",Men of Learning,Liw
"-0040","0015",Men of Learning,Ovid
"-0070","-0020",Men of Learning,Virgil
"-0060","-0010",Men of Learning,Horace
"-0100","-0050",Men of Learning,Lucretius
"-0080","-0040",Men of Learning,Catullus
"-0595","-0530",Statesmen,Cyrus
"-0625","-0550",Statesmen,Solon
"-0545","-0490",Statesmen,Miltiades
"-0500","-0430",Statesmen,Poricles
"-0515","-0450",Statesmen,Themistocles
"-0500","-0450",Statesmen,Cimon
"-0450","-0405",Statesmen,Alcibiades
"-0445","-0360",Statesmen,Agesilaus
"-0385","-0340",Statesmen,Philip
"-0350","-0320",Statesmen,Alexander
"-0300","-0345",Statesmen,Dionysius
"-0420","-0365",Statesmen,Epaminandas
"-0445","-0365",Statesmen,Camillus
"-0325","-0275",Statesmen,Pyrrhus
"-0275","-0220",Statesmen,Aratus
"-0255","-0185",Statesmen,Philopremon
"-0260","-0240",Statesmen,Agis
"-0230","-0145",Statesmen,Cato Censor
"-0230","-0180",Statesmen,Scipio Af.
"-0245","-0180",Statesmen,Hannibal
"-0180","-0135",Statesmen,T Gracchus
"-0130","-0065",Statesmen,Mithriates
"-0110","-0045",Statesmen,Cicero
"-0110","-0050",Statesmen,Pompey
"-0100","-0045",Statesmen,J. Caesar
"-0090","-0045",Statesmen,Brutus
"-0065","0010",Statesmen,Augustus
