Title,Start,End,Description,category,lat,lon
Shulaveri,-6000,-5800,"McGovern 2009 mentions positive results for tartaric acid/tartrate from stone (?) vessels, pre-pottery Neolithic (ca. 6000 BC?) (p. 80)",Residue evidence for wine consumption,41.376709,44.829384
Dikili Tash,-4460,-4000,"Large quantity of grape pips and pressed skins from House 1, c14 dated to 4460-4000 BC (Valamoti et al. 2007, 55-58).",Archaeological evidence for grape processing,41.010303,24.30899
Godin Tepe,-3500,-2900,"Confirmed and published evidence for liquid contents containing tartaric acid/tartrate: jars of Late Uruk period (site periods ""Early Period V"", 3500-3100 BC and ""Late Period V"", 3100-2900 BC) (Badler 1996, McGovern and Michel 1996)",Residue evidence for wine consumption,34.518609,48.068647
Lake Zeribar pollen,-4400,-4200,"Identification of grape pollen well outside natural range in core layers dating to ca. 4300 BC (calibrated), indicating cultivation (Miller 2008, p. 940, citing van Zeist and Bottema 1977).",Archaeological evidence for domesticated grapes,35.538402,46.127543
Myrtos,-2300,-2200,"Confirmed and published evidence for tartaric acid/tartrate and tree resins in two pithoi of ca. 2200 BC, identified by McGovern (Tzedakis and Martlew 1999, p. 144)",Residue evidence for wine consumption,35.0069,25.5905
Körtik,-10000,-8000,McGovern 2009 mentions positive results for tartaric acid/tartrate from two chlorite vessels (10000-8000 BC?) (p. 81),Residue evidence for wine consumption,37.814336,40.983847
Hajji Firuz Tepe,-5400,-5000,"Confirmed and published evidence for liquid contents containing tartaric acid/tartrate: jars of early pottery Neolithic, 5400-5000 BC (McGovern et al. 1996)",Residue evidence for wine consumption,37.004373,45.458728
Tomb of Scorpion I at Abydos,-3200,-3150,"Confirmed and published evidence for tartaric acid/tartrate, Saccharomyces cerevisiae, and tree resin (terebinth?), plus grape pips and figs (for yeast?), from jar 156 in tomb of Scorpion 1 (U-j) at Abydos, ca. 3150 BC (McGovern et al. 2009)",Residue evidence for wine consumption,26.177348,31.908559
Kurban Höyük,-2500,-2000,"Charred fruit skins with seeds attached, from layers of ""mid to late 3rd millennium BC""; flattening suggests pressing (Miller 2008, p. 942, citing Miller 1984).",Archaeological evidence for grape processing,37.419468,38.333674
Kurban Höyük (seeds),-3300,-3000,"Finds of undeveloped seeds from the late 4th millennium BC, taken as indicator of domesticated grape by Kroll 1999 (cited in Miller 2008, p. 942).",Archaeological evidence for domesticated grapes,37.418668,38.330499
Malyan (seeds and wood),-2200,-1800,"Some earlier finds of isolated grape seeds, but in ""late third-early second millennium BC"", vine wood, mineralized seeds in latrines (Miller 2008, p. 943).",Archaeological evidence for domesticated grapes,30.0116,52.4086
Tel Arad,-3200,-1900,"Finds of seeds resembling cultivated vinifera and charred vine wood from the Early Bronze Age (3200-1900 BC in the Levant) (Zohary 1996, p. 28; Miller 2008, p. 938).",Archaeological evidence for domesticated grapes,31.280197,35.126073
Jericho (seeds),-3700,-3200,"Finds of charred pips as early as Neolithic (Miller 2008, p. 938) and charred fruits with pips by 3200 BC (Zohary 1996, p. 28); outside natural range, so likely to be cultivation, unless imported as raisins.",Archaeological evidence for domesticated grapes,31.870883,35.444003
Ta'anach,-2700,-2600,"Possible ""treading and catchment arrangement"" for wine-press, with shallow rectangular depression connected to basin with two rock-cut channels (Leonard 1996, p. 235)",Archaeological evidence for grape processing,32.521422,35.220179
Buto,-3100,-2600,"Grape seeds outside native range reported by James 1996, citing Thanheiser 1991, ""Early Dynastic""",Archaeological evidence for domesticated grapes,31.195297,30.742478
Tomb of Semerkhet at Abydos,-2925,-2900,Jar with label identifying it as from royal vineyard (Gausch-Jane et al. 2004),Archaeological evidence for domesticated grapes,26.174122,31.90818
Tomb of Semerkhet at Abydos,-2925,-2900,Same jar with vineyard label produced positive results for tartaric acid (Gausch-Jane et al. 2004),Residue evidence for wine consumption,26.174157,31.908149
